req_id,t,size,op,seq,key,pred_ms,assigned,actual_ms,node_scale_before,node_scale_after
90,45809735.854,1329,1,0,930,1.000,1,2.004,0.500,2.887
101,45809735.876,1756,0,0,582,1.000,3,8.028,0.500,7.168
97,45809735.892,1387,0,0,457,1.000,4,1.005,0.500,1.145
96,45809735.907,76546048,0,1,583,1.000,5,26.242,0.500,9.922
95,45809735.922,2032,0,0,889,1.000,6,7.009,0.500,54.238
100,45809735.938,1106,1,1,670,1.000,7,2.013,0.500,30.079
88,45809735.953,3527,0,0,970,1.000,8,2.004,0.500,2.008
93,45809735.969,4595,0,1,981,1.000,9,4.003,0.500,22.019
103,45809735.985,5057,1,0,267,1.000,1,7.005,0.500,3.093
105,45809736.000,4208,0,0,515,1.000,3,28.028,0.500,8.211
102,45809736.015,1505,1,0,422,1.000,4,3.503,0.500,1.263
104,45809736.036,4294,0,1,930,1.000,5,7.009,0.500,9.777
98,45809736.051,1272,0,0,670,1.000,6,7.008,0.500,51.877
107,45809736.066,4418,0,1,639,1.000,7,7.006,0.500,28.926
109,45809736.082,1738,0,1,382,1.000,8,7.004,0.500,2.258
117,45809736.097,3721,0,0,768,1.000,9,6.004,0.500,21.218
106,45809736.112,2326,1,0,767,1.000,1,0.005,0.500,2.939
111,45809736.128,1356,1,0,583,1.000,3,0.028,0.500,7.802
120,45809736.144,2024,1,0,629,1.000,4,0.002,0.500,1.200
112,45809736.159,1543,0,1,947,1.000,5,0.005,0.500,9.288
108,45809736.174,3802,0,0,479,1.000,6,4.008,0.500,49.483
114,45809736.195,3674,0,0,84,1.000,7,0.020,0.500,27.480
110,45809736.211,4923,0,1,126,1.000,8,0.004,0.500,2.145
118,45809736.226,4373,0,1,262,1.000,9,8.004,0.500,20.558
130,45809736.242,4692,1,0,267,1.000,1,8.004,0.500,3.192
122,45809736.258,4843,0,1,206,1.000,3,32.016,0.500,9.013
121,45809736.274,2659,1,0,820,1.000,4,4.001,0.500,1.340
116,45809736.290,3617,1,0,816,1.000,5,8.004,0.500,9.224
124,45809736.305,82837504,1,1,532,1.000,6,345.613,0.500,64.290
115,45809736.321,1542,0,0,127,1.000,7,8.004,0.500,26.506
138,45809736.336,4016,1,0,308,1.000,8,8.004,0.500,2.438
123,45809736.351,1302,0,0,886,1.000,9,8.004,0.500,19.930
132,45809736.367,3294,0,1,713,1.000,1,2.004,0.500,3.133
128,45809736.382,4758,0,0,462,1.000,3,8.020,0.500,8.963
127,45809736.397,60817408,0,1,853,1.000,4,14.648,0.500,2.005
134,45809736.413,3989,0,0,15,1.000,5,2.005,0.500,8.863
137,45809736.428,3239,1,1,805,1.000,6,0.018,0.500,61.076
126,45809736.444,5026,1,1,173,1.000,7,2.004,0.500,25.281
147,45809736.460,1809,0,0,714,1.000,8,2.004,0.500,2.416
131,45809736.475,2634,1,0,795,1.000,9,2.004,0.500,19.034
140,45809736.490,2506,0,1,464,1.000,1,4.009,0.500,3.177
141,45809736.505,82837504,0,0,205,1.000,3,1757.544,0.500,96.392
152,45809736.520,1636,1,1,276,1.000,4,2.002,0.500,2.005
136,45809736.536,56623104,0,1,169,1.000,5,17.720,0.500,9.306
139,45809736.551,74448896,0,1,357,1.000,6,54.735,0.500,60.759
133,45809736.567,63963136,0,1,482,1.000,7,39.786,0.500,26.007
148,45809736.582,4943,0,1,577,1.000,8,4.004,0.500,2.496
135,45809736.598,4944,1,0,455,1.000,9,9.003,0.500,18.532
146,45809736.613,3559,0,1,92,1.000,1,6.004,0.500,3.318
143,45809736.629,78643200,1,0,911,1.000,3,72.876,0.500,95.216
155,45809736.644,1087,1,1,941,1.000,4,3.002,0.500,2.055
142,45809736.659,1798,1,1,863,1.000,5,6.005,0.500,9.141
156,45809736.675,4659,0,0,53,1.000,6,5.008,0.500,57.971
145,45809736.690,1114,1,0,75,1.000,7,6.005,0.500,25.007
158,45809736.705,2523,0,1,509,1.000,8,6.005,0.500,2.671
150,45809736.721,2480,0,1,405,1.000,9,6.011,0.500,17.906
149,45809736.747,1962,0,0,16,1.000,1,0.003,0.500,3.152
163,45809736.765,1905,1,0,385,1.000,3,12.116,0.500,91.061
167,45809736.782,4090,0,1,459,1.000,4,0.003,0.500,1.953
154,45809736.799,1568,0,0,459,1.000,5,0.005,0.500,8.684
157,45809736.816,3796,1,1,164,1.000,6,1.006,0.500,55.123
153,45809736.833,4306,0,1,169,1.000,7,0.005,0.500,23.756
162,45809736.850,2796,0,1,924,1.000,8,0.004,0.500,2.538
161,45809736.867,4780,1,0,581,1.000,9,6.005,0.500,17.311
165,45809736.884,73400320,0,0,927,1.000,1,169.976,0.500,11.493
169,45809736.901,3908,0,1,33,1.000,3,0.032,0.500,86.510
168,45809736.918,4890,0,0,354,1.000,4,1.002,0.500,1.905
164,45809736.935,3180,1,0,37,1.000,5,2.005,0.500,8.350
159,45809736.951,2937,0,0,943,1.000,6,9.006,0.500,52.817
173,45809736.968,3756,0,1,232,1.000,7,2.004,0.500,22.669
177,45809736.985,1119,1,0,918,1.000,8,2.004,0.500,2.511
171,45809737.002,3025,1,0,581,1.000,9,2.006,0.500,16.546
181,45809737.019,5056,1,1,522,1.000,1,5.006,0.500,11.169
170,45809737.036,1179,0,0,818,1.000,3,16.032,0.500,82.986
176,45809737.053,1475,1,0,537,1.000,4,1.502,0.500,1.885
166,45809737.070,2270,0,1,70,1.000,5,3.003,0.500,8.083
184,45809737.086,2076,1,0,749,1.000,6,8.007,0.500,50.577
183,45809737.103,1218,0,0,286,1.000,7,3.004,0.500,21.686
179,45809737.119,1098,0,0,846,1.000,8,3.004,0.500,2.536
172,45809737.136,2787,0,1,709,1.000,9,6.005,0.500,16.019
195,45809737.155,73400320,1,0,503,1.000,1,7.941,0.500,11.008
